Department,Salary,ActiveProjects,AvgMonthlyHours,YearsAtCompany,WorkAccidents,ReceivedPromotion,LastEvaluation,SatisfactionScore,Attrition
sales,low,2,157,3,False,False,0.53,0.38,True
sales,medium,5,262,6,False,False,0.86,0.8,True
sales,medium,7,272,4,False,False,0.88,0.11,True
sales,low,5,223,5,False,False,0.87,0.72,True
sales,low,2,159,3,False,False,0.52,0.37,True
sales,low,2,153,3,False,False,0.5,0.41,True
sales,low,6,247,4,False,False,0.77,0.1,True
sales,low,5,259,5,False,False,0.85,0.92,True
sales,low,5,224,5,False,False,1.0,0.89,True
sales,low,2,142,3,False,False,0.53,0.42,True
sales,low,2,135,3,False,False,0.54,0.45,True
sales,low,6,305,4,False,False,0.81,0.11,True
sales,low,4,234,5,False,False,0.92,0.84,True
sales,low,2,148,3,False,False,0.55,0.41,True
sales,low,2,137,3,False,False,0.56,0.36,True
sales,low,2,143,3,False,False,0.54,0.38,True
sales,low,2,160,3,False,False,0.47,0.45,True
sales,low,4,255,6,False,False,0.99,0.78,True
sales,low,2,160,3,True,True,0.51,0.45,True
sales,low,5,262,5,False,False,0.89,0.76,True
sales,low,6,282,4,False,False,0.83,0.11,True
sales,low,2,147,3,False,False,0.55,0.38,True
sales,low,6,304,4,False,False,0.95,0.09,True
sales,low,2,139,3,False,False,0.57,0.46,True
sales,low,2,158,3,False,False,0.53,0.4,True
sales,low,5,242,5,False,False,0.92,0.89,True
sales,low,4,239,5,False,False,0.87,0.82,True
sales,low,2,135,3,False,False,0.49,0.4,True
accounting,low,2,128,3,False,False,0.46,0.41,True
accounting,low,2,132,3,False,False,0.5,0.38,True
accounting,low,6,294,4,False,False,0.62,0.09,True
hr,low,2,134,3,False,False,0.57,0.45,True
hr,low,2,145,3,False,False,0.51,0.4,True
hr,low,2,140,3,False,False,0.55,0.45,True
hr,low,4,246,6,False,False,0.87,0.84,True
engineering,low,6,255,4,False,False,0.94,0.1,True
engineering,low,2,137,3,False,False,0.46,0.38,True
engineering,low,2,126,3,False,False,0.5,0.45,True
engineering,low,6,306,4,False,False,0.89,0.11,True
engineering,low,2,152,3,False,False,0.54,0.41,True
engineering,low,5,269,5,False,False,0.88,0.87,True
engineering,low,2,158,3,False,False,0.48,0.45,True
engineering,low,2,127,3,False,False,0.46,0.4,True
engineering,low,7,281,4,False,False,0.8,0.1,True
engineering,low,6,276,4,False,False,0.89,0.09,True
engineering,low,3,182,4,False,False,0.74,0.84,True
support,low,2,147,3,False,False,0.55,0.4,True
support,low,3,273,6,False,False,0.7,0.57,True
support,low,2,148,3,False,False,0.54,0.4,True
support,low,2,147,3,False,False,0.47,0.43,True
support,low,6,152,2,False,False,0.78,0.13,True
support,low,2,135,3,False,False,0.55,0.44,True
support,low,2,134,3,False,False,0.55,0.38,True
support,low,2,132,3,False,False,0.54,0.39,True
support,low,7,307,4,False,False,0.92,0.1,True
support,low,2,140,3,False,False,0.46,0.37,True
support,low,7,255,4,False,False,0.94,0.11,True
engineering,low,6,309,4,False,False,0.81,0.1,True
engineering,low,2,128,3,False,False,0.54,0.38,True
engineering,low,4,225,5,False,False,1.0,0.85,True
management,medium,5,226,5,False,False,0.91,0.85,True
IT,medium,7,308,4,False,False,0.93,0.11,True
IT,medium,6,244,5,False,False,0.95,0.1,True
IT,medium,2,132,3,False,False,0.56,0.36,True
IT,medium,6,286,4,False,False,0.94,0.11,True
IT,medium,6,161,4,False,False,0.7,0.81,True
product_management,medium,2,153,3,False,False,0.54,0.43,True
product_management,medium,4,264,6,False,False,0.98,0.9,True
product_management,medium,5,223,5,True,False,0.86,0.76,True
product_management,medium,2,135,3,False,False,0.5,0.43,True
IT,medium,2,277,3,False,False,0.99,0.74,True
